OBJECTID;ID_PCT;ID_MST;numero_campo;codigo_estandar;codigo_igm;tipo_subtipo;tipo_muestra;subtipo_muestra;coord_este_bogota;coord_norte_bogota;coord_este1_bta;coord_norte1_bta;latitud;longitud;altitud;origen_coord_original;coord_este_original;coord_norte_original;fecha;testigo;profundidad;profundidad_mayor;escala_muestreo;plancha;cuenca;subcuenca;tipo_celda;pais;departamento;municipio;localidad;ubicacion_geografica;proyecto;responsable;informe;ataque;malla;Preconcentracion;Preservación;Pulverizado;Secado;Tamizado;Triturado;tecnica_medicion;Ag_perc;Ag_ppb;Ag_ppm;Al_perc;Al_ppb;Al_ppm;As_perc;As_ppb;As_ppm;Au_perc;Au_ppb;Au_ppm;B_ppb;B_ppm;Ba_perc;Ba_ppb;Ba_ppm;Be_perc;Be_ppb;Be_ppm;Bi_perc;Bi_ppb;Bi_ppm;Br_perc;Br_ppb;Br_ppm;C_perc;Ca_perc;Ca_ppb;Ca_ppm;CaCO3_perc;Cd_perc;Cd_ppb;Cd_ppm;Ce_ppb;Ce_ppm;Cl_perc;Cl_ppm;Co_perc;Co_ppb;Co_ppm;Cr_perc;Cr_ppb;Cr_ppm;Cs_ppb;Cs_ppm;Cu_perc;Cu_ppb;Cu_ppm;Dy_ppb;Dy_ppm;Er_ppb;Er_ppm;Eu_ppb;Eu_ppm;Fe_perc;Fe_ppb;Fe_ppm;Ga_perc;Ga_ppb;Ga_ppm;Gd_ppb;Gd_ppm;Ge_ppb;Ge_ppm;Hf_ppb;Hf_ppm;Hg_ppb;Hg_ppm;Ho_ppb;Ho_ppm;I_ppb;I_ppm;In_ppb;In_ppm;Ir_ppb;Ir_ppm;K_perc;K_ppb;K_ppm;La_ppb;La_ppm;Li_perc;Li_ppb;Li_ppm;Lu_ppb;Lu_ppm;Mg_perc;Mg_ppb;Mg_ppm;MgCO3_perc;Mn_perc;Mn_ppb;Mn_ppm;Mo_perc;Mo_ppb;Mo_ppm;N_perc;Na_perc;Na_ppb;Na_ppm;Nb_ppb;Nb_ppm;Nd_ppb;Nd_ppm;Ni_perc;Ni_ppb;Ni_ppm;Os_ppb;Os_ppm;P_perc;P_ppm;Pb_perc;Pb_ppb;Pb_ppm;Pd_ppb;Pd_ppm;Pg_perc;Pr_ppb;Pr_ppm;Pt_ppb;Pt_ppm;R2O3_perc;Rb_perc;Rb_ppb;Rb_ppm;Re_ppb;Re_ppm;Ru_ppb;Ru_ppm;S_perc;S_ppm;Sb_perc;Sb_ppb;Sb_ppm;Sc_ppb;Sc_ppm;Se_ppb;Se_ppm;Si_perc;Si_ppb;Si_ppm;Sm_ppb;Sm_ppm;Sn_perc;Sn_ppb;Sn_ppm;Sr_perc;Sr_ppb;Sr_ppm;Ta_perc;Ta_ppb;Ta_ppm;Tb_ppb;Tb_ppm;Te_perc;Te_ppb;Te_ppm;Th_ppb;Th_ppm;Ti_perc;Ti_ppb;Ti_ppm;Tl_ppb;Tl_ppm;Tm_ppb;Tm_ppm;U_ppb;U_ppm;V_ppb;V_ppm;W_perc;W_ppb;W_ppm;Y_perc;Y_ppb;Y_ppm;Yb_ppb;Yb_ppm;Zn_perc;Zn_ppb;Zn_ppm;Zr_perc;Zr_ppb;Zr_ppm;Shape;k/Rb_ppm
116635;;;10-II-C-SL-05;;10-II-C-SL-05;;S: Sedimento;Sedimento de Lecho;1250134;1791983;1250134;1791983;;;;1-Bogotá;1250133,73;1791982,69;19-7-2007;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;50,421;0,050421;3,15;;31500;;;2,56305;;0,204081633;0,000204082;;13,0;;;241,3;;;0,529;;;5,198529412;;;0,0;;0,14;;1400;;;48,3;0,0483;;20,6;;60,7;;;160,9957709;;;16,4;;0,686;;;5,39;;1,27;;0,695238095;;0,380952381;1,1;;11000;;;3,1;;1,387755102;;;;7,565328005;9,69;0,00969;;0,233142857;;;;0,01805;;;1,03;;10300;;10,95238095;;;7,69896;;0,12;0,13;;1300;;;;152,0;;;1,16;;0,38;;3800;;5,619047619;;9,611687812;;;4,803921569;;;;132,6843137;;;7,14;;;;;2,625;;;;;;27,9;;;;;;49,0;;;0,23047619;;2,3;;9,0;88,12;;881200,0;;1,774042951;;;1,422;;;32,1;;;2,4276;;0,23;;;0,0215992;;3,174603175;;;1685,890042;;0,18;;0,115340254;;0,765722;;20,85714286;;;849,2585;;;6,728181469;;0,711264898;;;18,7;;;264,3;;369,1756272401434
116574;;;2-IV-B-SL-15;;2-IV-B-SL-15;;S: Sedimento;Sedimento de Lecho;1264366;1854325;1264366;1854325;;;;1-Bogotá;1264366,16;1854324,95;28-5-2007;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;54,07052;0,05407052;4,11;;41100;;;3,645285;;0,244897959;0,000244898;;16,0;;;297,8;;;0,743;;;6,238235294;;;0,0;;0,66;;6600;;;65,6;0,0656;;19,0;;75,7;;;94,4828912;;;74,2;;0,98;;;5,88;;1,44;;0,780952381;;0,419047619;1,44;;14400;;;3,9;;1,405895692;;;;3,75191271;9,18;0,00918;;0,272;;;;0,019;;;1,24;;12400;;9,904761905;;;9,05148;;0,13;0,48;;4800;;;;182,5714286;;;0,87;;0,72;;7200;;3,904761905;;9,131103422;;;12,25490196;;;;200,9;;;8,466;;;;;2,415;;;;;;34,3;;;;;;148,078;;;0,25352381;;2,7;;0,0;86,63;;866300,0;;1,680672269;;;0,917;;;60,1;;;0,8874;;0,26;;;0,0184338;;3,267973856;;;1333,42945;;0,24;;0,124951942;;0,7598054;;29,80952381;;;492,1225;;;7,593233372;;0,807381776;;;26,6;;;126,9;;361,5160349854228
116588;;;3-III-C-SL-11;;3-III-C-SL-11;;S: Sedimento;Sedimento de Lecho;1267545;1845253;1267545;1845253;;;;1-Bogotá;1267544,91;1845253,23;31-5-2007;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;64,15472;0,06415472;5,07;;50700;;;3,847515;;0,244897959;0,000244898;;11,0;;;337,7;;;0,749;;;6,238235294;;;0,0;;0,64;;6400;;;96,8;0,0968;;24,4;;60,9;;;81,50711265;;;35,2;;0,98;;;9,898;;1,94;;1,066666667;;0,561904762;1,75;;17500;;;4,7;;1,922902494;;;;3,948995546;10,2;0,0102;;0,369142857;;;;0,0209;;;1,5;;15000;;12,57142857;;;9,3636;;0,17;0,64;;6400;;;;227,9047619;;;0,88;;0,96;;9600;;4,761904762;;11,72625913;;;10,49019608;;;;291,1176471;;;9,282;;;;;3,15;;;;;;35,7;;;;;;25,774;;;0,311142857;;3,6;;0,0;86,24;;862400,0;;2,147525677;;;0,753;;;63,0;;;2,0706;;0,35;;;0,0274645;;3,734827264;;;1662,341407;;0,28;;0,173010381;;0,8199806;;32,57142857;;;434,2495;;;10,38062284;;1,134179162;;;27,3;;;122,7;;420,16806722689074
116559;;;2-IV-B-SL-05;;2-IV-B-SL-05;;S: Sedimento;Sedimento de Lecho;1265333;1861212;1265333;1861212;;;;1-Bogotá;1265332,96;1861211,84;29-5-2007;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;63,77056;0,06377056;4,61;;46100;;;3,444735;;0,346938776;0,000346939;;11,0;;;285,3;;;0,696;;;6,238235294;;;0,0;;0,33;;3300;;;82,1;0,0821;;20,0;;141,2;;;74,29834679;;;50,4;;1,176;;;6,076;;1,56;;0,857142857;;0,438095238;1,43;;14300;;;4,1;;1,532879819;;;;4,30272973;9,18;0,00918;;0,301142857;;;;0,01805;;;1,29;;12900;;10,66666667;;;10,19592;;0,15;0,3;;3000;;;;139,1428571;;;0,84;;0,69;;6900;;4,0;;9,419454056;;;10,29411765;;;;220,5960784;;;8,058;;;;;2,625;;;;;;36,6;;;;;;104,468;;;0,242;;3,0;;0,0;85,59;;855900,0;;1,774042951;;;0,938;;;55,2;;;0,8364;;0,28;;;0,0240198;;3,267973856;;;1322,856594;;0,28;;0,144175317;;0,8142154;;29,33333333;;;397,0815;;;8,458285275;;0,903498654;;;26,6;;;144,0;;352,4590163934426
116564;;;2-IV-B-SL-09;;2-IV-B-SL-09;;S: Sedimento;Sedimento de Lecho;1262587;1856780;1262587;1856780;;;;1-Bogotá;1262587,18;1856780,21;28-5-2007;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;65,97948;0,06597948;4,31;;43100;;;3,645285;;0,234693878;0,000234694;;15,0;;;276,4;;;0,678;;;7,277941176;;;1,0;;0,48;;4800;;;78,5;0,0785;;25,9;;80,2;;;68,43521722;;;114,5;;1,078;;;6,762;;1,76;;0,933333333;;0,495238095;1,67;;16700;;;4,1;;1,786848073;;;;6,907708317;8,67;0,00867;;0,34;;;;0,0228;;;1,07;;10700;;13,52380952;;;9,25956;;0,16;0,33;;3300;;;;242,2857143;;;0,98;;0,7;;7000;;3,904761905;;11,82237601;;;13,43137255;;;;208,4901961;;;8,262;;;;;3,255;;;;;;31,2;;;;;;201,782;;;0,288095238;;3,2;;0,0;85,52;;855200,0;;2,054154995;;;0,87;;;64,2;;;0,3468;;0,33;;;0,0364952;;3,267973856;;;1842,272203;;0,24;;0,153787005;;0,8913764;;40,47619048;;;367,1855;;;9,2272203;;1,00922722;;;30,2;;;230,3;;342,94871794871796
116547;;;2-IV-D-SL-10;;2-IV-D-SL-10;;S: Sedimento;Sedimento de Lecho;1265865;1848935;1265865;1848935;;;;1-Bogotá;1265864,53;1848934,87;29-5-2007;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;78,08052;0,07808052;6,33;;63300;;;3,048675;;0,357142857;0,000357143;;11,0;;;377,4;;;0,81;;;6,238235294;;;0,0;;0,4;;4000;;;98,8;0,0988;;17,9;;71,5;;;48,25067282;;;29,8;;1,274;;;7,252;;1,46;;0,780952381;;0,447619048;1,44;;14400;;;5,2;;1,514739229;;;;2,59303051;11,22;0,01122;;0,291428571;;;;0,0209;;;1,93;;19300;;9,904761905;;;10,29996;;0,12;0,43;;4300;;;;174,2857143;;;0,6;;1,07;;10700;;3,238095238;;9,034986544;;;8,235294118;;;;294,9607843;;;8,976;;;;;2,415;;;;;;47,7;;;;;;47,236;;;0,276571429;;3,0;;0,0;85,32;;853200,0;;1,680672269;;;0,766;;;65,0;;;1,2648;;0,26;;;0,02793;;3,267973856;;;1089,965398;;0,35;;0,134563629;;0,7019768;;27,33333333;;;264,9735;;;7,977700884;;0,845828527;;;25,3;;;82,2;;404,6121593291404
116566;;;2-IV-B-SL-10B;;2-IV-B-SL-10B;;S: Sedimento;Sedimento de Lecho;1265512;1857278;1265512;1857278;;;;1-Bogotá;1265512,18;1857278,36;28-5-2007;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;61,84976;0,06184976;5,49;;54900;;;4,36044;;0,244897959;0,000244898;;20,0;;;330,2;;;0,882;;;9,357352941;;;1,0;;0,76;;7600;;;98,2;0,0982;;31,7;;132,6;;;68,81968474;;;41,4;;1,568;;;7,546;;2,24;;1,228571429;;0,561904762;2,15;;21500;;;5,0;;2,303854875;;;;9,693233828;9,18;0,00918;;0,417714286;;;;0,02755;;;1,32;;13200;;16,0952381;;;12,79692;;0,2;0,43;;4300;;;;304,4761905;;;0,92;;0,7;;7000;;7,238095238;;14,5136486;;;12,15686275;;;;283,0470588;;;10,608;;;;;3,99;;;;;;38,5;;;;;;463,736;;;0,265047619;;4,1;;0,0;84,93;;849300,0;;2,707749767;;;1,095;;;82,3;;;1,8462;;0,4;;;0,0241129;;5,78898226;;;2139,657824;;0,28;;0,211457132;;1,23032;;38,0;;;370,8215;;;11,91849289;;1,336024606;;;38,4;;;335,7;;342,85714285714283
116609;;;10-II-A-SL-2B;;10-II-A-SL-2B;;S: Sedimento;Sedimento de Lecho;1240239;1799970;1240239;1799970;;;;1-Bogotá;1240239,23;1799969,62;39301;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;59,35272;0,05935272;5,14;;51400;;;2,56305;;0,244897959;0,000244898;;28,0;;;431,6;;;0,787;;;7,277941176;;;0,0;;0,93;;9300;;;145,8;0,1458;;62,2;;85,1;;;98,03921569;;;52,9;;0,98;;;10,584;;2,44;;1,352380952;;0,704761905;2,63;;26300;;;5,7;;3,310657596;;;;27,58589317;9,69;0,00969;;0,456571429;;;;0,02945;;;2,02;;20200;;33,71428571;;;10,09188;;0,23;0,34;;3400;;;;463,2380952;;;1,14;;0,77;;7700;;16,66666667;;27,10495963;;;6,764705882;;;;198,7862745;;;11,628;;;;;7,665;;;;;;45,3;;;;;;20,0;;;0,242;;4,3;;0,0;84,59;;845900,0;;4,014939309;;;1,352;;;68,5;;;3,3456;;0,52;;;0,0346332;;7,096171802;;;5429,161861;;0,32;;0,211457132;;1,4928506;;55,14285714;;;542,3195;;;12,59131103;;1,412918108;;;39,4;;;938,8;;445,916114790287
116565;;;2-IV-B-SL-10A;;2-IV-B-SL-10A;;S: Sedimento;Sedimento de Lecho;1265668;1857507;1265668;1857507;;;;1-Bogotá;1265667,75;1857507,3;28-5-2007;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;62,52204;0,06252204;4,32;;43200;;;4,77834;;0,316326531;0,000316327;;21,0;;;306,1;;;0,836;;;0,103970588;;;0,0;;1,08;;10800;;;105,1;0,1051;;32,6;;105,6;;;89,77316417;;;62,0;;1,274;;;7,644;;2,17;;1,180952381;;0,571428571;2,22;;22200;;;4,6;;2,321995465;;;;9,524052417;10,2;0,0102;;0,417714286;;;;0,0247;;;1,14;;11400;;17,23809524;;;11,54844;;0,2;0,33;;3300;;;;338,952381;;;0,99;;0,57;;5700;;8,095238095;;15,57093426;;;12,35294118;;;;237,9862745;;;10,302;;;;;4,095;;;;;;34,2;;;;;;334,964;;;0,265047619;;4,2;;0,0;84,25;;842500,0;;2,707749767;;;1,036;;;77,5;;;0,87;;0,41;;;0,0309092;;4,948646125;;;2687,235679;;0,25;;0,192233756;;1,1663668;;46,28571429;;;455,0555;;;11,4379085;;1,220684352;;;39,0;;;318,5;;333,3333333333333
116560;;;2-IV-B-SL-7-A;;2-IV-B-SL-7-A;;S: Sedimento;Sedimento de Lecho;1256723;1857770;1256723;1857770;;;;1-Bogotá;1256723,18;1857770,45;28-5-2007;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;52,3418;0,0523418;4,7;;47000;;;5,525835;;0,244897959;0,000244898;;16,0;;;369,6;;;0,661;;;0,103970588;;;0,0;;0,76;;7600;;;83,4;0,0834;;34,0;;95,2;;;78,52748943;;;144,6;;0,98;;;6,958;;2,12;;1,142857143;;0,552380952;2,4;;24000;;;4,6;;2,349206349;;;;5,877230553;9,18;0,00918;;0,408;;;;0,0247;;;1,17;;11700;;17,14285714;;;9,77976;;0,19;0,36;;3600;;;;284,0952381;;;1,01;;0,72;;7200;;5,619047619;;15,47481738;;;17,35294118;;;;285,8333333;;;9,486;;;;;4,2;;;;;;27,5;;;;;;1130,136;;;0,288095238;;3,9;;0,0;84,2;;842000,0;;2,801120448;;;1,122;;;81,2;;;2,0298;;0,4;;;0,021413;;4,948646125;;;2024,990388;;0,21;;0,182622068;;1,0067828;;40,19047619;;;406,6765;;;11,05344098;;1,134179162;;;40,1;;;191,1;;425,45454545454544
116638;;;10-II-C-SL-07A;;10-II-C-SL-07A;;S: Sedimento;Sedimento de Lecho;1241101;1786663;1241101;1786663;;;;1-Bogotá;1241100,82;1786662,75;19-7-2007;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;66,2676;0,0662676;6,27;;62700;;;2,659335;;0,204081633;0,000204082;;28,0;;;476,6;;;0,862;;;7,277941176;;;1,0;;0,36;;3600;;;64,6;0,0646;;29,3;;120,6;;;102,7489427;;;20,4;;1,176;;;6,37;;1,79;;1,066666667;;0,495238095;1,41;;14100;;;5,8;;1,89569161;;;;9,15951582;10,2;0,0102;;0,330285714;;;;0,02375;;;1,94;;19400;;16,0952381;;;9,77976;;0,19;0,29;;2900;;;;224,6666667;;;0,94;;0,96;;9600;;7,142857143;;12,97577855;;;5,294117647;;;;148,1529412;;;10,812;;;;;3,675;;;;;;50,1;;;;;;13,328;;;0,288095238;;3,3;;9,0;84,17;;841700,0;;2,240896359;;;1,188;;;56,2;;;2,4888;;0,32;;;0,0311885;;4,295051354;;;1792,195309;;0,31;;0,182622068;;0,8750072;;25,42857143;;;556,5605;;;9,996155325;;1,163014225;;;27,3;;;309,8;;387,2255489021956
116555;;;2-IV-D-SL-20-B;;2-IV-D-SL-20-B;;S: Sedimento;Sedimento de Lecho;1264953;1841383;1264953;1841383;;;;1-Bogotá;1264953,45;1841383,08;30-5-2007;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;71,0696;0,0710696;4,96;;49600;;;5,41779;;0,224489796;0,00022449;;12,0;;;341,6;;;0,879;;;6,238235294;;;0,0;;0,39;;3900;;;146,2;0,1462;;23,6;;51,6;;;87,65859285;;;27,9;;1,078;;;12,838;;1,64;;0,895238095;;0,542857143;1,83;;18300;;;4,8;;1,759637188;;;;4,179085213;10,2;0,0102;;0,320571429;;;;0,02185;;;1,41;;14100;;12,38095238;;;9,98784;;0,14;0,33;;3300;;;;265,8095238;;;1,03;;0,81;;8100;;5,047619048;;11,14955786;;;9,31372549;;;;294,672549;;;9,384;;;;;2,94;;;;;;37,4;;;;;;50,078;;;0,357238095;;3,7;;0,0;84,16;;841600,0;;2,054154995;;;0,761;;;60,7;;;1,6014;;0,31;;;0,04655;;3,641456583;;;1645,32872;;0,29;;0,153787005;;0,7870848;;30,57142857;;;454,6515;;;8,842752787;;0,913110342;;;32,2;;;136,3;;377,0053475935829
116634;;;10-II-C-SL-03;;10-II-C-SL-03;;S: Sedimento;Sedimento de Lecho;1246297;1791010;1246297;1791010;;;;1-Bogotá;1246297,25;1791010,08;19-7-2007;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;63,67452;0,06367452;5,65;;56500;;;3,34509;;0,244897959;0,000244898;;19,0;;;373,2;;;0,73;;;7,277941176;;;0,0;;0,39;;3900;;;107,7;0,1077;;24,8;;61,6;;;98,71203383;;;21,4;;0,882;;;7,448;;1,82;;1,0;;0,571428571;1,83;;18300;;;5,2;;1,804988662;;;;5,607118183;12,24;0,01224;;0,34;;;;0,01995;;;1,61;;16100;;12,95238095;;;9,05148;;0,18;0,41;;4100;;;;266,3809524;;;0,98;;1,13;;11300;;6,571428571;;11,34179162;;;6,274509804;;;;186,6803922;;;13,158;;;;;3,15;;;;;;40,3;;;;;;49,0;;;0,334190476;;3,4;;9,0;84,06;;840600,0;;2,054154995;;;0,755;;;73,5;;;2,4378;;0,32;;;0,0310954;;3,828197946;;;1917,820069;;0,27;;0,173010381;;0,844085;;31,61904762;;;547,9755;;;9,707804691;;1,086120723;;;32,7;;;182,0;;399,50372208436727
116587;;;3-III-C-SL-6-C;;3-III-C-SL-6-C;;S: Sedimento;Sedimento de Lecho;1267308;1846604;1267308;1846604;;;;1-Bogotá;1267307,72;1846603,82;29-5-2007;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;76,44784;0,07644784;5,83;;58300;;;3,14706;;0,214285714;0,000214286;;12,0;;;347,7;;;0,825;;;7,277941176;;;0,0;;1,0;;10000;;;132,1;0,1321;;23,0;;73,9;;;112,8412149;;;124,7;;1,372;;;23,716;;2,06;;1,142857143;;0,580952381;2,65;;26500;;;6,3;;1,89569161;;;;4,6554655;10,2;0,0102;;0,398285714;;;;0,02755;;;1,41;;14100;;11,52380952;;;11,02824;;0,18;1,98;;19800;;;;556,4761905;;;0,99;;1,05;;10500;;5,142857143;;11,05344098;;;54,11764706;;;;319,172549;;;11,322;;;;;2,94;;;;;;42,0;;;;;;20,0;;;0,276571429;;6,2;;0,0;83,78;;837800,0;;2,147525677;;;1,141;;;80,2;;;2,5602;;0,36;;;0,0406847;;4,295051354;;;2035,178777;;0,31;;0,192233756;;0,8866528;;52,76190476;;;561,4085;;;11,4379085;;1,191849289;;;39,7;;;146,0;;335,7142857142857
116631;;;10-II-A-SL-15B;;10-II-A-SL-15B;;S: Sedimento;Sedimento de Lecho;1251655;1792616;1251655;1792616;;;;1-Bogotá;1251655,13;1792616,39;18-7-2007;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;52,53388;0,05253388;4,44;;44400;;;3,14706;;0,265306122;0,000265306;;123,0;;;342,6;;;0,697;;;0,155955882;;;0,0;;0,43;;4300;;;64,9;0,0649;;22,7;;63,7;;;81,12264514;;;22,4;;0,686;;;7,546;;1,58;;0,885714286;;0,533333333;1,73;;17300;;;4,7;;1,587301587;;;;7,418359753;9,69;0,00969;;0,301142857;;;;0,02755;;;1,77;;17700;;12,28571429;;;7,69896;;0,16;0,25;;2500;;;;190,6666667;;;0,84;;0,69;;6900;;7,714285714;;10,47673972;;;6,078431373;;;;152,1882353;;;10,812;;;;;2,835;;;;;;42,2;;;;;;49,0;;;0,334190476;;3,1;;0,0;83,45;;834500,0;;1,774042951;;;1,132;;;63,7;;;1,8666;;0,29;;;0,0282093;;3,361344538;;;2621,107266;;0,3;;0,153787005;;0,814065;;33,52380952;;;455,3585;;;8,266051519;;0,970780469;;;28,9;;;231,7;;419,43127962085305
116632;;;10-II-B-SL-14B;;10-II-B-SL-14B;;S: Sedimento;Sedimento de Lecho;1263296;1793963;1263296;1793963;;;;1-Bogotá;1263296,27;1793962,7;16-7-2007;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;66,45968;0,06645968;4,95;;49500;;;2,853165;;0,204081633;0,000204082;;22,0;;;427,6;;;0,831;;;6,238235294;;;0,0;;1,06;;10600;;;96,5;0,0965;;32,6;;86,0;;;125,1441753;;;30,2;;1,078;;;9,31;;2,11;;1,142857143;;0,542857143;2,06;;20600;;;5,4;;2,095238095;;;;12,23799726;9,18;0,00918;;0,388571429;;;;0,02185;;;2,0;;20000;;18,47619048;;;9,8838;;0,2;0,3;;3000;;;;287,9047619;;;1,16;;0,84;;8400;;9,142857143;;14,70588235;;;6,960784314;;;;194,8470588;;;9,996;;;;;3,99;;;;;;49,0;;;;;;49,0;;;0,25352381;;3,7;;9,0;83,32;;833200,0;;2,427637722;;;0,806;;;75,4;;;1,3868;;0,37;;;0,0188993;;4,388422035;;;2702,518262;;0,31;;0,192233756;;1,078416;;37,9047619;;;683,0125;;;11,05344098;;1,278354479;;;29,8;;;413,1;;408,16326530612247
116617;;;10-II-A-SL-5B;;10-II-A-SL-5B;;S: Sedimento;Sedimento de Lecho;1249811;1799705;1249811;1799705;;;;1-Bogotá;1249810,93;1799705,07;18-7-2007;;;;25000;;;;;;LA GUAJIRA;;;;PROYECTO ALTA GUAJIRA ;;;;;;;;;;;ICP-OES;;58,87252;0,05887252;5,07;;50700;;;2,276715;;0,316326531;0,000316327;;37,0;;;740,8;;;0,544;;;6,238235294;;;0,0;;0,56;;5600;;;33,4;0,0334;;24,1;;80,2;;;73,91387928;;;21,1;;0,98;;;8,232;;1,64;;0,933333333;;0,561904762;1,51;;15100;;;4,6;;1,68707483;;;;5,766134298;9,69;0,00969;;0,310857143;;;;0,01995;;;2,09;;20900;;13,42857143;;;10,19592;;0,15;0,31;;3100;;;;141,5238095;;;0,7;;0,77;;7700;;5,904761905;;11,4379085;;;5,098039216;;;;150,3627451;;;8,568;;;;;3,045;;;;;;44,4;;;;;;83,104;;;0,311142857;;2,8;;9,0;83,03;;830300,0;;1,960784314;;;0,9;;;61,1;;;1,632;;0,29;;;0,0345401;;3,454715219;;;2150,519031;;0,28;;0,153787005;;0,770968;;37,52380952;;;423,9475;;;8,746635909;;0,903498654;;;19,2;;;204,6;;470,72072072072075
